form='grå-'	lemma='grå'	Case=Nom|Definite=Ind|Degree=Pos|Number=Sing	in_treebanks={None}	Han avfärdade dock tanken på vit skjorta, det skulle bli lite väl formellt, och valde i stället en grå- och rödrutig historia som passade till den grå slipsen.
form='s.k.'	lemma='såkallad'	Case=Nom	in_treebanks={None}	I motsats till kommissionens förslag är det nödvändigt att bevara det nuvarande s.k. "artikel 43- förfarandet".
form='KÄRE'	lemma='kär'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={None}	KÄRE MR POTTER
form='DÖVSTUM'	lemma='dövstum'	Case=Nom|Definite=Ind|Degree=Pos|Number=Sing	in_treebanks={None}	Fästad vid pennan satt en liten vit pappersflagga på vars ena sida det stod: Denna utmärkta vara får Du av en DÖVSTUM.
form='ansedda'	lemma='anse'	Case=Nom|Definite=Def	in_treebanks={None}	Far hade hört talas om att Cunard, det mest framstående och ansedda rederiet i Storbritannien, skulle köpas upp av Trafalgar House Investments.
form='klädda'	lemma='klä'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Vid det bortesta bordet satt två sjaskigt klädda gubbar, den ene mycket tjock och den andre mycket smal, båda djupt försjunkna i startlistorna för morgondagens hästkapplöpningar.
form='framlagda'	lemma='framlägga'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={None}	Det av kommissionen framlagda förslaget kan hälsas med tillfredsställelse från konsumentens sida.
form='planlagda'	lemma='planlägga'	Case=Nom|Definite=Def|Degree=Pos|Number=Plur	in_treebanks={None}	Denna aktivitet i förening med den ökade hettan i ett tyst gräl vid sidan av honom åstadkom en kraftig distraktion i en annan, tumultuarisk medvetandenivå, som han alltid hade funnit beröva de noga planlagda stora ögonblicken just det som de egentligen borde ge i intensiv, ren och okonstlad form.
form='rödögda'	lemma='rödögd'	_	in_treebanks={None}	Jag har mött våldets djävul och snikenhetens djävul och det heta begärets djävul men de djävlarna, pojkar, det var starka, levnadsglada, rödögda djävlar som red och drev män – män, säger jag.
form='böjda'	lemma='böja'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Armarna höll hon böjda och stela framför sig, fötterna stod brett isär.
form='avröjda'	lemma='avröja'	Case=Nom|Definite=Def|Degree=Pos|Gender=Com|Number=Sing	in_treebanks={None}	Och utanför stod den tysta vildmarken kring denna avröjda fläck som någonting väldigt och oövervinneligt – som ondskan eller sanningen – och väntade tåligt på att detta spöklika intrång skulle ta slut.
form='Milda'	lemma='mild'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Milda makter!
form='nedfällda'	lemma='nedfälla'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	En smal och folktom gata i djup skugga mellan höga hus, otaliga fönster med nedfällda persienner, dödstystnad, gräs mellan kullerstenarna, ståtliga vagnsportar till vänster och höger, väldiga dubbeldörrar med hela sin massiva tyngd på glänt.
form='utställda'	lemma='utställa'	Case=Nom|Definite=Def|Degree=Pos|Number=Plur	in_treebanks={None}	Harry såg nervöst hur Draco kom allt närmare hans gömställe, medan han granskade de utställda föremålen.
form='dolda'	lemma='dölja'	Case=Nom|Definite=Def|Number=Sing|Tense=Past|VerbForm=Part	in_treebanks={None}	Så frågan om vad de egentligen talade om bestod i grund och botten av hennes dolda, undertryckta, indämda önskan att få veta om detta hus, detta liv i Wiltshire, detta liv – till sist – för honom tedde sig som det slutgiltiga, innerst inne.
form='indämda'	lemma='indämma'	Case=Nom|Definite=Def|Degree=Pos|Gender=Com|Number=Sing	in_treebanks={None}	Så frågan om vad de egentligen talade om bestod i grund och botten av hennes dolda, undertryckta, indämda önskan att få veta om detta hus, detta liv i Wiltshire, detta liv – till sist – för honom tedde sig som det slutgiltiga, innerst inne.
form='nämnda'	lemma='nämna'	Case=Nom|Definite=Def|Number=Sing|Tense=Past|VerbForm=Part	in_treebanks={None}	Vad man ville åstadkomma var alltså att avhjälpa nämnda brister, vilket jag tror att vi är på väg att lyckas med.
form='Villkorsstyrda'	lemma='villkorsstyrd'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Villkorsstyrda filter fungerar oberoende av varandra.
form='genomförda'	lemma='genomföra'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Kommissionens uppskattningar av hälsovådliga värden följer genomförda undersökningar.
form='upphävda'	lemma='upphäva'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={None}	Den upphävda förordningen baserades på artikel 100 C i Maastrichtfördraget.
form='Döda'	lemma='död'	Case=Nom|Degree=Pos|Number=Plur	in_treebanks={None}	Jag tittar ner mot Döda havet över trasiga klippblock och hus med lökformade tak.
form='Omyndiga'	lemma='omyndig'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Omyndiga trollkarlar fick inte lov att använda trollkonst utanför skolan.
form='Sorgliga'	lemma='sorglig'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={None}	Riddaren av den Sorgliga Skepnaden ger inte upp sin mani.
form='Hjärtliga'	lemma='hjärtlig'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Hör av er så snart ni kan så jag får veta vad som händer. Hjärtliga hälsningar från Hermione.
form='Fjortonåriga'	lemma='fjortonårig'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Fjortonåriga hårdingar från östra Jerusalem röker cigaretter och spänner axlarna för att öva sig i rollen som farliga gathörnstyper när vi går förbi.
form='tjugosexåriga'	lemma='26-årig'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={None}	Den tjugosexåriga Vivien Bayley – drottninglik med sitt sköna, behärskade, disciplinerade ansikte – kom då och då över till Bray mellan ansvarskännande rekognosceringsturer i tältet för att övertyga sig om att den eller den unga flickan inte besvärades allt för mycket av en eller annan äldre eller mera påtagligt berusad individ, eller att den eller den unge mannen inte ignorerades av flickorna, som borde ägna honom större uppmärksamhet.
form='Kraftiga'	lemma='kraftig'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Kraftiga, prunkande buskar, hibiskus med de stora blommorna nersölade av pollen och myror och poinsettia, som dröp av ett mjölkvitt sekret, stod i full blom och gav ett sken av fruktbarhet åt den röda, magra jorden som skymtade hård och förbränd under gräset, piskad till gyttja av regn under träden, lös och smulig bara där myror hade förtärt den och åstadkommit små spröda tunnlar.
form='Unga'	lemma='ung'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={None}	Unga mrs Pettigrew gick omkring i ett tillstånd av ständig entusiasm;
form='Många'	lemma='mången'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Många andra gäster som Bray hade sett på balen strömmade in i sin stass:
form='många'	lemma='mången'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	XSLT innehåller många begrepp (strukturer och kommandon) som finns i andra programmeringsspråk, vilket gör att utvecklaren kan använda variabler, loopar och iterationer samt villkorsuttryck.
form='många'	lemma='mången'	Case=Nom|Definite=Def|Degree=Pos|Number=Plur	in_treebanks={None}	Guld-, silver- och bronsmynten skramlade muntert i påsen i Harrys ficka och ropade på att användas, så han köpte tre stora jordgubbs- och jordnötssmörglassar som de belåtet slickade i sig medan de vandrade genom gränden och studerade de många spännande butiksfönstren.
form='Höga'	lemma='hög'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Höga röster är lika konstlade som höga klackar.
form='Antika'	lemma='antik'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Antika föremål ligger i upplysta montrar.
form='arabiska'	lemma='arabisk'	Case=Nom	in_treebanks={None}	Och inte nog med att han valde ut författarna: förmodligen var det också han som översatte det arabiska manuskriptet tillbaka till spanska.
form='Indiska'	lemma='indisk'	Case=Nom|Definite=Def|Degree=Pos|Gender=Com|Number=Sing	in_treebanks={None}	Jag hade då, som ni kanske minns, just kommit tillbaka till London efter ett långt kringirrande på Indiska oceanen, Söderhavet och i kinesiska farvatten – en stadig dosis av orienten, sex år eller däromkring; och jag drev omkring, hindrade er i ert arbete och störde er i era hem, som om jag hade ansett mig kallad av himlen att civilisera er.
form='Ostindiska'	lemma='ostindisk'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={None}	De hade seglat ut från Deptford, från Greenwich, från Erith; äventyrare och imperiebyggare; kungars skepp och penningfurstars; kaptener, amiraler, den österländska trafikens skumma smyghandlare och Ostindiska kompaniets befullmäktigade "generaler".
form='Europeiska'	lemma='europeisk'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={None}	Inom Europeiska unionen är följerätten föremål för lagstiftande bestämmelser i elva stater, men tillämpas i praktiken bara i åtta stater.
form='Europeiska'	lemma='europeisk'	Case=Nom|Definite=Ind|Degree=Pos|Number=Plur	in_treebanks={None}	Europeiska krig, vita män som mördar varandra. Vad angår det mig?
